alien_bonus,laser_penalty,shield_bonus,lowest_enemy_penalty
0,0,0,-20
0,0,0,-20
0,0,0,-20
0,0,0,-20
370,0,0,-20
370,0,0,-20
380,0,0,-20
380,0,0,-20
390,-10,0,-20
390,0,3,-20
400,0,0,-20
400,0,0,-20
410,0,3,-20
410,0,0,-20
420,0,3,-20
420,0,3,-20
420,0,0,-20
430,0,0,-20
430,0,9,-20
440,-10,9,-20
440,0,0,-20
450,0,0,-20
450,0,0,-20
450,0,0,-20
450,0,0,-20
450,0,0,-20
450,0,0,-20
450,0,3,-20
450,-10,3,-20
450,0,0,-20
450,0,0,-20
460,-10,0,-20
460,-10,0,-20
470,-10,0,-20
470,-10,0,-20
480,-10,0,-20
480,-10,0,-20
490,-10,0,-20
490,-10,0,-40
490,-10,0,-40
490,-10,0,-40
490,0,0,-40
490,0,0,-40
490,0,0,-40
0,0,0,-40
0,0,0,-40
490,-10,0,-40
500,-10,0,-40
500,-10,0,-40
510,-10,0,-40
510,-10,0,-40
510,-10,0,-40
520,-10,0,-40
520,0,3,-40
530,0,3,-40
530,-10,3,-40
540,-10,3,-40
540,-10,3,-40
540,-10,3,-40
540,-10,3,-40
540,-10,3,-40
540,-10,3,-40
540,-10,3,-40
540,-10,3,-40
540,-10,3,-40
540,-10,3,-40
550,-10,3,-40
550,-10,3,-40
550,-10,3,-40
560,-10,3,-40
560,-10,3,-40
570,-10,3,-40
570,-10,3,-40
580,-10,3,-40
580,-10,3,-60
590,-10,3,-60
590,-10,3,-60
600,-10,3,-60
600,-10,3,-60
610,-10,3,-60
610,-10,3,-60
620,-10,3,-60
620,-10,3,-60
620,-10,3,-60
630,-10,3,-60
630,-10,3,-60
640,-10,3,-60
640,-10,3,-60
650,-10,3,-60
650,-10,3,-60
660,-10,3,-60
660,-10,3,-60
670,-10,3,-60
670,-10,3,-60
680,-10,3,-60
680,-10,3,-60
690,-10,3,-60
690,-10,3,-60
700,-10,3,-60
700,-10,3,-60
700,-10,3,-60
710,-10,3,-60
710,0,0,-60
710,0,0,-80
710,-10,0,-80
710,-10,0,-80
710,-10,0,-80
710,-10,0,-80
710,-10,0,-80
710,-10,0,-80
710,-10,0,-80
710,-10,0,-80
710,-10,0,-80
710,-10,0,-80
710,-10,0,-80
710,-10,0,-80
710,-10,0,-80
710,-10,0,-80
710,-10,0,-80
710,-10,0,-80
710,-10,0,-80
710,-10,0,-80
710,-10,0,-80
710,-10,0,-80
710,-10,0,-80
710,-10,0,-80
710,-10,0,-80
710,-10,0,-80
710,-10,0,-80
710,-10,0,-80
710,-10,0,-80
710,-10,0,-80
710,-10,0,-80
710,-10,0,-80
710,-10,0,-80
710,-10,0,-80
710,-10,0,-80
710,-10,0,-80
710,-10,0,-80
710,-10,0,-80
710,-10,0,-80
710,-10,0,-80
710,-10,0,-80
710,-10,0,-80
710,-10,0,-80
710,-10,0,-80
710,-10,0,-80
710,-10,0,-80
710,-10,0,-80
710,-10,0,-80
710,-10,0,-80
710,-10,0,-80
710,-10,0,-80
710,0,0,-80
710,-10,0,-80
710,-10,0,-80
710,0,0,-80
710,0,0,-80
710,0,0,-80
0,0,0,-20
0,0,0,-20
0,0,0,-20
0,0,0,-20
370,0,0,-20
370,-10,0,-20
380,-10,0,-20
380,0,0,-20
390,-10,0,-20
390,-10,0,-20
400,-10,0,-20
400,-10,0,-20
410,-10,0,-20
410,-10,0,-20
420,-10,0,-20
420,-10,0,-20
420,-10,0,-20
420,-10,0,-20
420,-10,0,-20
420,0,0,-20
420,0,0,-20
420,0,0,-20
0,0,0,-20
0,0,0,-20
420,-10,0,-20
430,-10,0,-20
430,-10,0,-20
430,-10,0,-20
430,0,0,-20
430,0,0,-20
430,0,0,-20
430,0,0,-20
